Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kikuchi, H., Wu, T., Yoshikawa, E., Ushio, T., Goto, H., Mizutani, F., Wada, M., Chandrasekar, V.","Performance of Minimum Mean-Square Error Beam Forming for Polarimetric Phased Array Weather Radar",2017,"IEEE Transactions on Geoscience and Remote Sensing",,,,"","",,,10.1109/TGRS.2017.2653816,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012144155&doi=10.1109%2fTGRS.2017.2653816&partnerID=40&md5=77ae97bbf287498709572f05916d9494",Article in Press,Scopus,2-s2.0-85012144155
"Beauchamp, R.M., Tanelli, S., Peral, E., Chandrasekar, V.","Pulse Compression Waveform and Filter Optimization for Spaceborne Cloud and Precipitation Radar",2017,"IEEE Transactions on Geoscience and Remote Sensing","55","2", 7728070,"915","931",,,10.1109/TGRS.2016.2616898,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994378378&doi=10.1109%2fTGRS.2016.2616898&partnerID=40&md5=3327110bab235dafa3365bb34bb61189",Article,Scopus,2-s2.0-84994378378
"Beauchamp, R.M., Chandrasekar, V.","Suppressing Wind Turbine Signatures in Weather Radar Observations",2017,"IEEE Transactions on Geoscience and Remote Sensing",,,,"","",,,10.1109/TGRS.2016.2647604,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011705829&doi=10.1109%2fTGRS.2016.2647604&partnerID=40&md5=c85d25dcb5cb5f4d1d3b1c4e01217187",Article in Press,Scopus,2-s2.0-85011705829
"Shimamura, S., Chandrasekar, V., Ushio, T., Kim, G., Yoshikawa, E., Chen, H.","Probabilistic Attenuation Correction in a Networked Radar Environment",2016,"IEEE Transactions on Geoscience and Remote Sensing","54","12", 7533432,"6930","6939",,1,10.1109/TGRS.2016.2592532,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981342011&doi=10.1109%2fTGRS.2016.2592532&partnerID=40&md5=345c5a1519d781fc1ffc867d51b1288c",Article,Scopus,2-s2.0-84981342011
"Le, M., Chandrasekar, V.","Enhancement of dual-frequency classification module for GPM DPR",2016,"International Geoscience and Remote Sensing Symposium (IGARSS)","2016-November",, 7729550,"2131","2134",,,10.1109/IGARSS.2016.7729550,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007472392&doi=10.1109%2fIGARSS.2016.7729550&partnerID=40&md5=46d967f9cb77c3b420646bd8628937c5",Conference Paper,Scopus,2-s2.0-85007472392
"Chen, H., Chandrasekar, V.","Real-time tornado detection and wind retrieval with high-resolution X-band Doppler radar network",2016,"International Geoscience and Remote Sensing Symposium (IGARSS)","2016-November",, 7729555,"2150","2153",,,10.1109/IGARSS.2016.7729555,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007494500&doi=10.1109%2fIGARSS.2016.7729555&partnerID=40&md5=c2aba75043b31c7e08426c890512658b",Conference Paper,Scopus,2-s2.0-85007494500
"Chandrasekar, V., Le, M.","Hydrometeor profiling for dual-frequency precipitation radar on board GPM",2016,"International Geoscience and Remote Sensing Symposium (IGARSS)","2016-November",, 7730021,"3930","3933",,,10.1109/IGARSS.2016.7730021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007440150&doi=10.1109%2fIGARSS.2016.7730021&partnerID=40&md5=9b535f538905f6c1646c9a62f7e574f8",Conference Paper,Scopus,2-s2.0-85007440150
"Chen, H., Chandrasekar, V., Lim, S., Beauchamp, R.M.","Attenuation correction and raindrop size distribution with Dual-polarization Radar measurements at Ku-band",2016,"International Geoscience and Remote Sensing Symposium (IGARSS)","2016-November",, 7729133,"536","539",,,10.1109/IGARSS.2016.7729133,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007499677&doi=10.1109%2fIGARSS.2016.7729133&partnerID=40&md5=678d30cc0374839dc0e08d48ccf8f69f",Conference Paper,Scopus,2-s2.0-85007499677
"Willie, D., Chen, H., Chandrasekar, V., Cifelli, R.","Regional polarimetric quantitative precipitation estimation over South Carolina",2016,"International Geoscience and Remote Sensing Symposium (IGARSS)","2016-November",, 7729557,"2158","2161",,,10.1109/IGARSS.2016.7729557,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007439504&doi=10.1109%2fIGARSS.2016.7729557&partnerID=40&md5=f9abd1c3cac77a3b0f855f03bc8cc96b",Conference Paper,Scopus,2-s2.0-85007439504
"Shimamura, S., Ushio, T., Kim, G., Yoshikawa, E., Chandrasekar, V.","Probabilistic attenuation correction in dual-pol radar network",2016,"International Geoscience and Remote Sensing Symposium (IGARSS)","2016-November",, 7729134,"540","543",,,10.1109/IGARSS.2016.7729134,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007482794&doi=10.1109%2fIGARSS.2016.7729134&partnerID=40&md5=d263bda4b4bcd5bdd204de4669367bc3",Conference Paper,Scopus,2-s2.0-85007482794
"Chandrasekar, V., Beauchamp, R.M., Chen, H., Vega, M., Schwaller, M., Willie, D., Dabrowski, A., Kumar, M., Petersen, W., Wolff, D.","Deployment and performance of the NASA D3R during the GPM OLYMPEx field campaign",2016,"International Geoscience and Remote Sensing Symposium (IGARSS)","2016-November",, 7729553,"2142","2145",,,10.1109/IGARSS.2016.7729553,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007478580&doi=10.1109%2fIGARSS.2016.7729553&partnerID=40&md5=1ccb9117e7e68c3b902da4425d44f208",Conference Paper,Scopus,2-s2.0-85007478580
"Chen, H., Chandrasekar, V.","Validation of NASA's Global Precipitation Measurement mission with a high-resolution ground radar network",2016,"2016 URSI Asia-Pacific Radio Science Conference, URSI AP-RASC 2016",,, 7601343,"836","839",,,10.1109/URSIAP-RASC.2016.7601343,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995503960&doi=10.1109%2fURSIAP-RASC.2016.7601343&partnerID=40&md5=76d2a6f5f920666d1e218db349da7061",Conference Paper,Scopus,2-s2.0-84995503960
"Li, X., He, J., Yang, L., Su, D., Yao, Z., Shi, Z., Chandrasekar, V., Chen, H.","Cloud observation using the Ka band cloud radar of CUIT",2016,"2016 URSI Asia-Pacific Radio Science Conference, URSI AP-RASC 2016",,, 7601227,"1978","1979",,,10.1109/URSIAP-RASC.2016.7601227,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995426593&doi=10.1109%2fURSIAP-RASC.2016.7601227&partnerID=40&md5=55cb26a436b10f211339e39eb2dd0d4c",Conference Paper,Scopus,2-s2.0-84995426593
"Su, D., He, J., Yang, L., Yao, Z., Shi, Z., Li, X., Chandrasekar, V., Chen, H.","Conceptual design of collaborative radar network for remote sensing of precipitation over Chengdu Metropolitan in western Sichuan Basin",2016,"2016 URSI Asia-Pacific Radio Science Conference, URSI AP-RASC 2016",,, 7601357,"1727","1728",,,10.1109/URSIAP-RASC.2016.7601357,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995481709&doi=10.1109%2fURSIAP-RASC.2016.7601357&partnerID=40&md5=5406d33d78ffcb451d25713253829b33",Conference Paper,Scopus,2-s2.0-84995481709
"Cremonini, R., Moisseev, D., Chandrasekar, V.","Airborne laser scan data: A valuable tool with which to infer weather radar partial beam blockage in urban environments",2016,"Atmospheric Measurement Techniques","9","10",,"5063","5075",,,10.5194/amt-9-5063-2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994027704&doi=10.5194%2famt-9-5063-2016&partnerID=40&md5=d4517db0d665d8e29040257dee0aba26",Article,Scopus,2-s2.0-84994027704
"Williams, C.R., Beauchamp, R.M., Chandrasekar, V.","Vertical Air Motions and Raindrop Size Distributions Estimated Using Mean Doppler Velocity Difference from 3-and 35-GHz Vertically Pointing Radars",2016,"IEEE Transactions on Geoscience and Remote Sensing","54","10", 7505946,"6048","6060",,1,10.1109/TGRS.2016.2580526,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979073432&doi=10.1109%2fTGRS.2016.2580526&partnerID=40&md5=05f2ce4cae64c3f67df4f32527c3a845",Article,Scopus,2-s2.0-84979073432
"Bernabo, P., Cuccoli, F., Baldini, L., Chandrasekar, V.","Super-cooled liquid water droplets detection using dual-polarization radar",2016,"3rd IEEE International Workshop on Metrology for Aerospace, MetroAeroSpace 2016 - Proceedings",,, 7573197,"118","123",,,10.1109/MetroAeroSpace.2016.7573197,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991759833&doi=10.1109%2fMetroAeroSpace.2016.7573197&partnerID=40&md5=2c7b336bc9a215756874c94125e09f6d",Conference Paper,Scopus,2-s2.0-84991759833
"Chandrasekar, V., Mahalakshmi, M.","End to end delay improvement in heterogeneous multicast network using fuzzy genetic approach",2016,"IIOAB Journal","7","9Special Issue",,"535","541",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994745748&partnerID=40&md5=c7b00e7ee6118a3d81f6e3981914b8fb",Article,Scopus,2-s2.0-84994745748
"Beauchamp, R.M., Chandrasekar, V.","Dual-Polarization Radar Characteristics of Wind Turbines with Ground Clutter and Precipitation",2016,"IEEE Transactions on Geoscience and Remote Sensing","54","8", 7460231,"4833","4846",,,10.1109/TGRS.2016.2552040,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992307080&doi=10.1109%2fTGRS.2016.2552040&partnerID=40&md5=8e87e4e9fd489ffdebd4842f4308fe60",Article,Scopus,2-s2.0-84992307080
"Chen, H., Chandrasekar, V.","Attenuation correction for polarimetric radar observations at X-, Ku-, and Ka-band frequencies",2016,"2016 United States National Committee of URSI National Radio Science Meeting, USNC-URSI NRSM 2016",,, 7436246,"","",,,10.1109/USNC-URSI-NRSM.2016.7436246,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969506988&doi=10.1109%2fUSNC-URSI-NRSM.2016.7436246&partnerID=40&md5=ca597755f530665a95c53cc782a4cb8f",Conference Paper,Scopus,2-s2.0-84969506988
"Chen, H., Chandrasekar, V., Joshil, S.","High-resolution wind retrieval in the lower troposphere with CASA DFW urban radar network",2016,"2016 United States National Committee of URSI National Radio Science Meeting, USNC-URSI NRSM 2016",,, 7436245,"","",,,10.1109/USNC-URSI-NRSM.2016.7436245,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969505800&doi=10.1109%2fUSNC-URSI-NRSM.2016.7436245&partnerID=40&md5=e0ed45c1682d5395278ad81c1ed9403c",Conference Paper,Scopus,2-s2.0-84969505800
"Lim, S., Chandrasekar, V.","A robust attenuation correction system for reflectivity and differential reflectivity in weather radars",2016,"IEEE Transactions on Geoscience and Remote Sensing","54","3", 7317557,"1727","1737",,1,10.1109/TGRS.2015.2487984,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946782530&doi=10.1109%2fTGRS.2015.2487984&partnerID=40&md5=348f4b284fa9945fb6a452649f42e560",Article,Scopus,2-s2.0-84946782530
"Junyent, F., Chandrasekar, V.","An examination of precipitation using CSU-CHILL dual-wavelength, dual-polarization radar observations",2016,"Journal of Atmospheric and Oceanic Technology","33","2",,"313","329",,1,10.1175/JTECH-D-14-00229.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962195682&doi=10.1175%2fJTECH-D-14-00229.1&partnerID=40&md5=7e958477505cd14f912032de44e75dad",Article,Scopus,2-s2.0-84962195682
"Yoshikawa, E., Chandrasekar, V., Ushio, T., Matsuda, T.","A Bayesian approach for integrated raindrop size distribution (DSD) retrieval on an X-band dual-polarization radar network",2016,"Journal of Atmospheric and Oceanic Technology","33","2",,"377","389",,,10.1175/JTECH-D-15-0060.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962138810&doi=10.1175%2fJTECH-D-15-0060.1&partnerID=40&md5=5a32387166eb1447beec408828e5dc72",Article,Scopus,2-s2.0-84962138810
"Kannan, S.R., Chandrasekar, V.","Information theoretic approach using neural network for determining radiometer observations from radar and vice versa",2016,"Proceedings of SPIE - The International Society for Optical Engineering","9876",, 98760D,"","",,,10.1117/12.2223432,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982281241&doi=10.1117%2f12.2223432&partnerID=40&md5=51eb1200b19da9c5878aef29d3cc025a",Conference Paper,Scopus,2-s2.0-84982281241
