"David","Bird"
"Deane","Yang"
"Paul","Wallace"
"Almira","Vazdarjanova"
"Christopher","Edwards"
"Leonard","Bliss"
"Daniel","Kirschen"
"Satyanarayana","Swamy-Mruthinti"
"Paul","Hooker"
"Julia","Cherry"
"Seth","Stein"
"Joshua","Angrist"
"Sara","Eisenhardt"
"John","Gray"
"Elliott","Brown"
"Daniel","Conte de Leon"
"Benjamin","Hobbs"
"Yan","Li"
"Patrick","Manning"
"Yan","Lu"
"Paulo","Goes"
"Pedram","Mohseni"
"Carolyn","Maher"
"Peter","Dusicka"
"Joseph","Stanzione"
"James","Haglund"
"Gregor","Novak"
"Ellen","Wohl"
"Juli","Feigon"
"Gerard","Venema"
"Sandra","Westbrooks"
"Todd","Green"
"J. Peter","May"
"Marguerite","Butler"
"Rafe","Brown"
"Christopher","Scheitle"
"Bruce","Buffett"
"Tiffany-Rose","Sikorski"
"Ramamoorthi","Ravi"
"Lise","Vesterlund"
"Vadim","Kaplunovsky"
"John","Henson"
"Brian","Daly"
"Williams","Weis"
"Kurt","Smemo"
"Miriah","Meyer"
"Gary","Weisel"
"M","Hadimani"
"Abbie","Liel"
"Yaling","Liu"
"Henry","Hale"
"Tina","Ostrander"
"Dylan","Rood"
"Patrick","Pringle"
"C. Richard","Tracy"
"Shengnian","Wang"
"Heidi","Schweingruber"
"Robert","Wheatcroft"
"Eric","Hetland"
"Filippo","Menczer"
"F. Douglas","Swesty"
"Daniel","Lacker"
"John","Masly"
"Vinothan","Manoharan"
"Suzanne","Saum"
"Jessica","Houston"
"Robert","Strain"
"Dionne","Miller"
"Charles","McEwen"
"Nicole","Shechtman"
"Hans","Gromoll"
"Davina","Pruitt-Mentle"
"Matthew","Begley"
"Sue","Fitzgerald"
"Magdalena","James-Pederson"
"Philip","Jensen"
"Rodney","Andrews"
"Thomas","Ward"
"John","Albertini"
"Danesh","Tafti"
"Dana","Jafroodi"
"Philip","Lucas"
"Todd","Hillwig"
"Branko","Kerkez"
"Mary Ellen","Gardiner"
"Jean","Chiar"
"Jay","Austin"
"Yaacov","Trope"
"Moonsub","Shim"
"Richard","Lehrer"
"Pete","Joenks"
"Ilya","Vekhter"
"Irfan","Azeem"
"Martha","Weiss"
"Andrew","Henderson"
"Emmanuel","Giannelis"
"Dale","Moore"
"Dong","Qin"
"Diana","McGill"
"Kenneth","Lohmann"
"Jeffrey","Habig"
"Charles","Piot"
"Mohamed","Abdelrahman"
"Srinivas","Peeta"
"Ana","Llopart"
"Micah","Hale"
"Mercouri","Kanatzidis"
"Tommaso","Melodia"
"Colin","Archibald"
"Jonathan","Nagler"
"Tai Sing","Lee"
"Dhananjay","Ravat"
"Steven","Shirey"
"Sy-Miin","Chow"
"Sarah","Longo"
"Jan","Yow"
"Bruce","Draine"
"Adela","Ben-Yakar"
"Anson","Ma"
"Akhtar","Lodgher"
"Peter","Traykovski"
"Erik","Blaufuss"
"Yonghui","Wang"
"Natalie","Boelman"
"Albert","To"
"Shing-Chung","Wong"
"Pamela","Kreeger"
"Jason","Hallstrom"
"Amy","Mullin"
"Harihar","Rajaram"
"Andrew","Noble"
"Dieter","van Melkebeek"
"Goran","Karapetrov"
"Terry","Tomasek"
"Jinwon","Kim"
"Jeremy","Owens"
"John","Chamberlain"
"Peter","Molnar"
"Sara Elizabeth","Humbert"
"Matthew","Salzer"
"Lerone","Banks"
"Scott","Summers"
"Rebecca","Bird"
"Gianluca","Lazzi"
"Autar","Kaw"
"Padraig","Nash"
"Richard","Braun"
"Mary","Bennett"
"Andrew","Hansen"
"Russell","Fielding"
"Aravind","Srinivasan"
"James","Myers"
"Margaret","Lowman"
"Nahil","Sobh"
"Michael","Willig"
"Nicholas","Kraft"
"Aaron","Geller"
"Mark","Skidmore"
"Rajesh","Bhatt"
"Alison","Coil"
"Edward","Price"
"Robert","Chant"
"Navarun","Gupta"
"Ted","Scambos"
"Pran","Nath"
"Ryan","Krauss"
"Dmitri","Litvinov"
"Qihuo","Wei"
"Paul","Larsen"
"Jonathan","Bland-Hawthorn"
"Ana","Spalding"
"Carlos","Grijalva"
"Michael","Norton"
"John","O'Connell"
"Matthew","Aro"
"James","Allan"
"Darrell","Kaufman"
"Barry","Welsh"
"Rakesh","Agrawal"
"Ana","Moore"
"David","Stark"
"Malancha","Gupta"
"Dipanjan","Mazumdar"
"Kim","Hayes"
"Katia","Obraczka"
"Esteban","Gazel"
"David","Nikles"
"Douglas","Emlen"
"Kris","Covey"
"Aline","Cotel"
"Patricia","Hartzell"
"Samantha","Siedlecki"
"Elizabeth","Pinel"
"Geoffrey","Kapler"
"Nori","Cannell"
"Dean","Castillo"
"Nicolas","Wienders"
"Brian","Brashaw"
"Cornelis","Klok"
"John","Berberian"
"Fredrick","Fodrie"
"Rosario","Ceballo"
"Stephen","Bullard"
"Anja","Nohe"
"William","VanOoij"
"Andrea","Fumagalli"
"Jeffrey","St. John"
"Scott","Mahlke"
"Thomas","Del Prete"
"James","Hower"
"Rajiv","Gandhi"
"David","Daleke"
"Siu-Tung","Yau"
"Timothy","Higham"
"Kam","Leang"
"Terry","Gullion"
"Margot","Gerritsen"
"Jesse","Gregory"
"Matthew","Evans"
"Gabriela","Richard"
"Hongchi","Shi"
"Mary","Arpaia"
"Xiaofeng","Shao"
"T. Douglas","Price"
"Ruth","Streveler"
"Gregory","Kiker"
"Frank","Osterloh"
"Pei-Yu","Chiou"
"David","Peate"
"Kingsley","Dunkley"
"Graciela","Unguez"
"Mari","Miyao"
"Karen","Poole"
"Yutian","Wu"
"Avideh","Zakhor"
"Sindee","Simon"
"Alessandra","Casella"
"Leigh","Bromley"
"Wayne","Feltz"
"Todd","Eisenstadt"
"Flaura","Winston"
"Deborah","Lewis"
"Sanford","Miller"
"Andrew","Carroll"
"Emily","Kleber"
"Deepak","Mishra"
"Allen","Landers"
"Kyria","Boundy-Mills"
"Stacey","Brenner-Moyer"
"Filiz","Kahraman"
"Jeffrey","Hart"
"Timothy","White"
"C. Robin","Graham"
"Giovanni","Parmigiani"
"Paulo","Arratia"
"Jeffrey","Hare"
"Michael","Bader"
"Robert","Austin"
"Girmay","Misgna"
"Serkan","Yolacan"
"Deborah","Nykanen"
"Rafael","Bras"
"Laura Beth","Nielsen"
"Christine","Pomeroy"
"Evelyn","Hiatt"
"Stephen","Stack"
"Ziv","Bar-Joseph"
"Deborah","Lurie"
"Ganti","Murthy"
"Steve","Edburg"
"Lisa","Porter"
"David","Schultz"
"Piotr","Hajlasz"
"Douglas","Hardin"
"Mehdi","Moini"
"Nagaraj","Neerchal"
"Robert","Bjornson"
"Steven","Strogatz"
"John","Collura"
"Nishikant","Sonwalkar"
"Jake","Abbott"
"Steven","Graves"
"Merrilee","Guenther"
"Aradhna","Tripati"
"Amanda","Heiderman"
"Sarah","McKagan"
"Ryan","Haaland"
"Manuel","Leal"
"Peter","Kner"
"Meredith","Kupinski"
"Paul","Gares"
"Aisha","Morris"
"Philip","Howard"
"Elza","Erkip"
"Charles","Haas"
"Monica","Stephens"
"HanFeng","Li"
"Panle","Jia"
"Carol","Espy-Wilson"
"Mario","Fific"
"Jie","Yan"
"James","Donahue"
"Eve","Ostriker"
"Audrey","Lamb"
"Kamalika","Chaudhuri"
"Michael","Kobor"
"Nathanial","Brown"
"Sirena","Hargrove-Leak"
"Feng","Zhou"
"J. Clayton","Baum"
"Yanqing","Zhang"
"Meredith","Kelly"
"Yang","Yi"
"Robert","Schweller"
"Timothy","Deines"
"Roy","Yates"
"Robert","Green"
"Morana","Alac"
"Roshanak","Nateghi"
"Vijaya","Chalivendra"
"Nerida","Wilson"
"Lori","Rosenkopf"
"Richard","Seager"
"Doris","Payne"
"Katja","Holtta-Otto"
"William","Cohen"
"Denis","Marcellin-Little"
"Cynthia","Burrows"
"Kristin","Monroe"
"Loretta","Pyles"
"Mark","Jamison"
"Maria","Mayorga"
"Gerald","Masson"
"Gene","Tacy"
"Elizabeth","Dolci"
"David","Dillenberger"
"Kenneth","Dueker"
"Hyoung sun","Youn"
"Lesley","Smith"
"Helen","Longino"
"Daoqin","Tong"
"Charles","Betsey"
"Armand","Makowski"
"Yajun","Mei"
"John","Toscano"
"Adam","Filios"
"John","Lannutti"
"Mazdak","Tootkaboni"
"Carole","Cramer"
"Fabien","Josse"
"Barbara","Cutler"
"Scott","Rychnovsky"
"Joseph","Barranco"
"Wenliang","Zhang"
"Yu","Yuan"
"Larry","Bernstein"
"Sadaf","Hasnain"
"Marta","Lewicka"
"Callie","Babbitt"
"Paul","Segall"
"Scott","Duke-Sylvester"
"Luca","Grandi"
"Richard","Hodel"
"Xi","Zhang"
"Xuemei","Cheng"
"Byunghoo","Jung"
"Melissa","Youngquist"
"Lennard","Fisk"
"A. James","Link"
"Michael","Leitner"
"Sajjad","Ahmad"
"Richard","Grant"
"Alexander","Braverman"
"Paul","Ulanch"
"Daniel","Cleary"
"Richard","Han"
"Marcia","O'Malley"
"Seongjai","Kim"
"Peter","Vitousek"
"Di","Gao"
"Zoya","Avramova"
"Volker","Sick"
"George","Christou"
"Tomas","Marsik"
"Xiangfang","Li"
"Ellen","Zegura"
"Thomas","Hauser"
"Andrew","Schroth"
"Leah","Johnson"
"John","Schotland"
"Mark","Shroyer"
"Ruth","Murray-Clay"
"Douglas","Leonard"
"Richard","Bootzin"
"Michael","Beran"
"Simon","Ang"
"Noel","Brady"
"James","Cuff"
"Mohanchandra","Panduranga"
"Adam","Green"
"Mary","Doyle"
"Kyle","Mahowald"
"Bhramar","Mukherjee"
"Adam","Berinsky"
"G. Carleton","Ray"
"Aravind","Joshi"
"Stephen","McGill"
"Sophie","Joerg"
"Eric","Agol"
"Zhigang","Deng"
"Benjamin","Giese"
"Shouhuai","Xu"
"John","Hunter"
"Wendy","Cory"
"Robert","Rumely"
"Kathleen","Dohan"
"Jennifer","Epstein"
"Divakar","Viswanath"
"Sarah","Green"
"Matthew","Heizler"
"Arthur","Greenberg"
"Shrikanth","Narayanan"
"Wenbing","Yun"
"Han","Dolman"
"Daniel","Miller"
"Christyann","Darwent"
"Martha","Gillette"
"Edith","Hemaspaandra"
"Severin","Fowles"
"Stephen","Norton"
"Eun Kyoung","Choe"
"Gail","Taylor"
"Joseph","Brill"
"John","Goodenough"
"David","Rankin"
"Kristi","West"
"Bill","Davies"
"Ashlie","Martini"
"K.D.","Leka"
"Amy","Lovecraft"
"Muthukrishna","Raja"
"Scott","Diamond"
"Janine","Trempy"
"Brooke","Mayer"
"Ramesh","Balasubramaniam"
"Timothy","Mitchell"
"Ashis","Nandy"
"Matthew","Kraft"
"Michael","Barnette"
"Paul","Aspinwall"
"Michael","Landry"
"Heather","Miller"
"Lori","Bland"
"Aaron","Birch"
"Mitchell","Rosen"
"Daniel","Vrinceanu"
"Brian","Heikes"
"Jesse","Bond"
"John","Hart"
"Daniel","Vastfjall"
"Kevin","Lang"
"Robert","Krasny"
"Tara","Javidi"
"Jennifer","Loertscher"
"John","Harb"
"Cheryl","Schrader"
"Charles","Tappert"
"Carl","Oliveros"
"Michael","Padilla"
"Yantao","Shen"
"Dawei","Chen"
"Edgar","Lobaton"
"Audrey","Huerta"
"Loretta","Moore"
"Florin","Despa"
"Xiaowei","Yang"
"Lee","Dyer"
"Johnson","Samuel"
"Steven","Damo"
"Kim","Sadler"
"Catherine","French"
"Roger","Conner"
"Edgar","Troudt"
"Myoungsoo","Jung"
"Sheldon","Park"
"Kara","Law"
"Norbert","Youmbi"
"Sourav","Chatterjee"
"C. Konrad","Gelbke"
"Oliver","Eulenstein"
"Alexander","Sherstov"
"Kurt","Fristrup"
"Amy","Roth-McDuffie"
"Claudia","Mitchell-Kernan"
"Edward","Carpenter"
"Ryan","Robucci"
"Constantine","Megaridis"
"Rebecca","Parales"
"David","Belanger"
"Mengqi","Wang"
"Chia-fon","Lee"
"Archana","Dubey"
"Yuh-Lang","Lin"
"Robert","Reys"
"Marc","Madou"
"Jie","Xu"
"Jun","Huan"
"Garritt","Tucker"
"David","Dunand"
"Allison","Steiner"
"Guy","Cormier"
"Cynthia","Trowbridge"
"Gladis","Kersaint"
"Eli","Yablonovitch"
"Ayayi","Ahyi"
"M. Umit","Uyar"
"Alberto","Segre"
"Edgardo","Farinas"
"Andrei","Sokolov"
"Raghunath","Murali"
"Mircea","Grigoriu"
"Ming","Li"
"Jon","Dobson"
"Robert","Azencott"
"Anton","Vorontsov"
"Birgit","Speh"
"Terry","Bartelt"
"Joneis","Thomas"
"Mark","Rausher"
"Francesca","Peressotti"
"Arijit","Bose"
"Eric","Banilower"
"Srikantan","Nagarajan"
"William","Ray"
"Peter","Reich"
"Robert","Ross"
"Wendy","Newstetter"
"Daniel","Abadi"
"David","Vanderbilt"
"Yasutaka","Furukawa"
"Susan","Olzak"
"Ann","Karagozian"
"Daniel","Sinclair"
"Jeffrey","Werner"
"Lawrence","Rome"
"Edward","Zellers"
"Susan","McKay"
"Joanna","Garner"
"Nicholas","Schmerr"
"Stacey","Kiser"
"Barney","Schlinger"
"Joseph","Zawicki"
"Paula","Hooper"
"Nathalie","Duval-Couetil"
"John","Baillieul"
"John","Diebel"
"Steven","Franke"
"Neil 'Ryan'","McKenzie"
"Danda","Rawat"
"Thomas","Marley"
"Todd","Pittman"
"Kevin","Speer"
"Francois","Lutzoni"
"Jennifer","Hegarty"
"Francisco","Werner"
"Steven","Franks"
"MaryJean","Koontz"
