Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Dehghan, M., Jiang, B., Seetharam, A., He, T., Salonidis, T., Kurose, J., Towsley, D., Sitaraman, R.","On the Complexity of Optimal Request Routing and Content Caching in Heterogeneous Cache Networks",2016,"IEEE/ACM Transactions on Networking",,,,"","",,,10.1109/TNET.2016.2636843,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007039888&doi=10.1109%2fTNET.2016.2636843&partnerID=40&md5=0a2579190013dfe398eca071224d65f8",Article in Press,Scopus,2-s2.0-85007039888
"Dernbach, S., Taft, N., Kurose, J., Weinsberg, U., Diot, C., Ashkan, A.","Cache content-selection policies for streaming video services",2016,"Proceedings - IEEE INFOCOM","2016-July",, 7524619,"","",,,10.1109/INFOCOM.2016.7524619,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983354505&doi=10.1109%2fINFOCOM.2016.7524619&partnerID=40&md5=fb41b95b5991f493d59dce179875e12e",Conference Paper,Scopus,2-s2.0-84983354505
"Seetharam, A., Kurose, J., Goeckel, D.","A Markovian Model for Coarse-Timescale Channel Variation in Wireless Networks",2016,"IEEE Transactions on Vehicular Technology","65","3", 7062906,"1701","1710",,,10.1109/TVT.2015.2414398,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963796052&doi=10.1109%2fTVT.2015.2414398&partnerID=40&md5=17c1be74e3b858dfdee1516997b5238d",Article,Scopus,2-s2.0-84963796052
"Yang, S., Kurose, J., Heimlicher, S., Venkataramani, A.","Measurement and modeling of user transitioning among networks",2015,"Proceedings - IEEE INFOCOM","26",, 7218453,"828","836",,,10.1109/INFOCOM.2015.7218453,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954224497&doi=10.1109%2fINFOCOM.2015.7218453&partnerID=40&md5=b338a47d74c9227aebe75ca8fc614df6",Conference Paper,Scopus,2-s2.0-84954224497
"Dehghan, M., Seetharam, A., Jiang, B., He, T., Salonidis, T., Kurose, J., Towsley, D., Sitaraman, R.","On the complexity of optimal routing and content caching in heterogeneous networks",2015,"Proceedings - IEEE INFOCOM","26",, 7218465,"936","944",,18,10.1109/INFOCOM.2015.7218465,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954205848&doi=10.1109%2fINFOCOM.2015.7218465&partnerID=40&md5=33b7b168975446ee25783bc8d9116cf8",Conference Paper,Scopus,2-s2.0-84954205848
"Seetharam, A., Dutta, P., Arya, V., Kurose, J., Chetlur, M., Kalyanaraman, S.","On managing quality of experience of multiple video streams in wireless networks",2015,"IEEE Transactions on Mobile Computing","14","3", 6844889,"619","631",,5,10.1109/TMC.2014.2331963,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922929304&doi=10.1109%2fTMC.2014.2331963&partnerID=40&md5=24fb9f4058c03a210104d56bfac9d009",Article,Scopus,2-s2.0-84922929304
"Seetharam, A., Kurose, J.","An analysis of opportunistic forwarding for correlated wireless channels",2015,"Proceedings of the WoWMoM 2015: A World of Wireless Mobile and Multimedia Networks",,, 7158173,"","",,,10.1109/WoWMoM.2015.7158173,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943140717&doi=10.1109%2fWoWMoM.2015.7158173&partnerID=40&md5=b4978ab01829ad7d1b081a9cced328d6",Conference Paper,Scopus,2-s2.0-84943140717
"Gao, Z., Venkataramani, A., Kurose, J., Heimlicher, S.","Towards a quantitative comparison of location-independent network architectures",2015,"Computer Communication Review","44","4",,"259","270",,,10.1145/2619239.2626333,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924414935&doi=10.1145%2f2619239.2626333&partnerID=40&md5=3b49889e7d1048d9926558e11fb3c82e",Conference Paper,Scopus,2-s2.0-84924414935
"Seetharam, A., Heimlicher, S., Kurose, J., Wei, W.","Routing with adaptive flooding in heterogeneous mobile networks",2015,"2015 7th International Conference on Communication Systems and Networks, COMSNETS 2015 - Proceedings",,, 7098694,"","",,,10.1109/COMSNETS.2015.7098694,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930426479&doi=10.1109%2fCOMSNETS.2015.7098694&partnerID=40&md5=2cb2ad4ac95c1f81786588abd1428052",Conference Paper,Scopus,2-s2.0-84930426479
"Yagyu, T., Yamamoto, M., Tode, H., Ohta, C., Kurose, J.F.","Demo: Contents sharing among mobile users in breadcrumbs-enabled cache network",2015,"2015 12th Annual IEEE Consumer Communications and Networking Conference, CCNC 2015",,, 7157962,"150","151",,,10.1109/CCNC.2015.7157962,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943152770&doi=10.1109%2fCCNC.2015.7157962&partnerID=40&md5=f7fb0bfc0599eae494385da8ebe9b7a5",Conference Paper,Scopus,2-s2.0-84943152770
"Kurose, J.","Information-centric networking: The evolution from circuits to packets to content",2014,"Computer Networks","66",,,"112","120",,22,10.1016/j.comnet.2014.04.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901421438&doi=10.1016%2fj.comnet.2014.04.002&partnerID=40&md5=d6d9630aa6fbb9e217d345e769b19aa1",Article,Scopus,2-s2.0-84901421438
"Gao, Z., Venkataramani, A., Kurose, J.F., Heimlicher, S.","Towards a quantitative comparison of location-independent network architectures",2014,"SIGCOMM 2014 - Proceedings of the 2014 ACM Conference on Special Interest Group on Data Communication",,,,"259","270",,7,10.1145/2619239.2626333,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907371089&doi=10.1145%2f2619239.2626333&partnerID=40&md5=62d56864cbf47c83d43cf90f5f3770b9",Conference Paper,Scopus,2-s2.0-84907371089
"Steshenko, J., Chaganti, V.G., Kurose, J.","Mobility in a large-scale WiFi network: From syslog events to mobile user sessions",2014,"MSWiM 2014 - Proceedings of the 17th ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",,,,"331","334",,,10.1145/2641798.2645701,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908622100&doi=10.1145%2f2641798.2645701&partnerID=40&md5=d0eeaf1e004b076485b2ccb9b3fbcde6",Conference Paper,Scopus,2-s2.0-84908622100
"Badov, M., Seetharam, A., Kurose, J., Firoiu, V., Nanda, S.","Congestion-aware caching and search in information-centric networks",2014,"ICN 2014 - Proceedings of the 1st International Conference on Information-Centric Networking",,,,"37","46",,29,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928209387&partnerID=40&md5=f125db038a417846427b3c627151b429",Conference Paper,Scopus,2-s2.0-84928209387
"Dehghan, M., Seetharamz, A., He, T., Salonidis, T., Kurose, J., Towsley, D.","Optimal caching and routing in hybrid networks",2014,"Proceedings - IEEE Military Communications Conference MILCOM",,, 6956902,"1072","1078",,4,10.1109/MILCOM.2014.182,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912544188&doi=10.1109%2fMILCOM.2014.182&partnerID=40&md5=6b447f1db611d76e0e4de6a495503869",Conference Paper,Scopus,2-s2.0-84912544188
