"aaron","barth","36088948300","7193"	,"14"
"aaron","lucius","6507215220","32501"	,"1"
"aaron","ridley","7102627267","4362"	,"31"
"abeer","alwan","7006698761","42467"	,"8"
"abigail","pastore","56108610300","40925"	,"2"
"achim","herrmann","7202170958","23169"	,"2"
"adam","abate","9841399300","18820"	,"1"
"adam","burrows","7102520274","901"	,"3"
"adam","chlipala","10041238300","18807"	,"3"
"adam","lidz","12752024200","7238"	,"15"
"adena","rissman","16231058600","4223"	,"4"
"adrian","lee","35310906100","13864"	,"6"
"akhlesh","lakhtakia","53877620200","8834"	,"4"
"alakabha","datta","7402110521","32769"	,"1"
"alan","goldman","7401725382","22282"	,"4"
"alan","harvey","55554841100","32067"	,"1"
"alan","kolok","6602852552","2493"	,"1"
"alan","munn","7003506535","20670"	,"1"
"alan","strahler","57023448800","1145"	,"4"
"alberto","corso","7004970005","37592"	,"3"
"alejandro","ribeiro","8704366800","21253"	,"1"
"alessandro","acquisti","16642142700","24946"	,"9"
"alex","liu","55499729100","23690"	,"1"
"alexander","borisov","7201889480","41333"	,"2"
"alexander","goncharov","16645382200","21170"	,"1"
"alexander","kusenko","55139322600","41288"	,"1"
"alexander","stine","24467014700","31074"	,"3"
"alexandre","bayen","56278135800","9877"	,"1"
"alexei","gruverman","56059739700","41259"	,"1"
"alfinio","flores","7201721952","10032"	,"2"
"alfred","shapere","6602931158","14647"	,"7"
"ali","mohraz","6506759158","2002"	,"1"
"alina","chertock","6602664928","14863"	,"2"
"alison","ledgerwood","35746293500","15739"	,"2"
"allan","donsig","6601973128","426"	,"1"
"allan","showalter","7004714806","25871"	,"2"
"allison","okamura","56640794500","14994"	,"1"
"amanda","schmidt","55817553005","7590"	,"3"
"ambuj","tewari","8847303800","23916"	,"3"
"amitava","bhattacharjee","57193088921","12899"	,"1"
"amlan","ganguly","18934372500","12512"	,"2"
"anatoly","kolomeisky","6701667823","29713"	,"1"
"andrea","montanari","57193215587","7003"	,"1"
"andreas","metz","7102380355","41732"	,"1"
"andreas","molisch","7006594890","2336"	,"5"
"andrew","alverson","6507735410","28271"	,"3"
"andrew","fullerton","23018837300","24549"	,"2"
"andrew","lenharth","22938459500","25844"	,"2"
"andrew","porter","7202005219","25836"	,"2"
"andrew","storfer","6603789071","31550"	,"3"
"andrew","terentis","6602563779","17838"	,"1"
"andrew","walker","55677262400","18618"	,"1"
"andrey","proshutinsky","6603573706","21346"	,"10"
"andruid","kerne","6602816305","154"	,"1"
"angela","shartrand","24492697200","38277"	,"1"
"angela","wilson","6701511300","19845"	,"1"
"angus","rockett","55249293600","23025"	,"2"
"aniket","kittur","24923233700","2533"	,"13"
"anil","agrawal","56852791600","25466"	,"1"
"animashree","anandkumar","16068201100","18945"	,"2"
"anind","dey","56899130700","3886"	,"1"
"anish","arora","13609385200","10250"	,"7"
"anju","gupta","55495152100","25882"	,"1"
"ann","anderson","56309819600","25938"	,"4"
"ann","gordon-ross","6507677523","12347"	,"2"
"ann","taylor","55473529000","10035"	,"1"
"anna","himler","24320665600","3438"	,"2"
