"1","1360","HUMAN RESOURCES DEVELOPMENT","2"
"2","1480","ENGINEERING RESEARCH CENTERS","2"
"3","7218","RET SUPPLEMENTS","2"
"4","1480","ENGINEERING RESEARCH CENTERS","3"
"5","1525","PHYSICAL & DYNAMIC METEOROLOGY","3"
"6","1522","PHYSICAL METEOROLOGY","3"
"7","1360","HUMAN RESOURCES DEVELOPMENT","3"
"8","T327",,"3"
"9","1359","RES EXP FOR TEACHERS(RET)-SITE","3"
"10","7641","INT'L RES & EDU IN ENGINEERING","3"
"11","7298","COLLABORATIVE RESEARCH","3"
"12","T965",,"3"
"13","S053",,"3"
"14","1340","ENGINEERING EDUCATION","3"
"15","H338",,"3"
"16","H339",,"3"
"17","7179","GRAD TEACHING FELLOWS IN K-12","3"
"18","7741","BROAD PARTIC IN ENG (BRIGE)","3"
"19","I470",,"3"
"20","I471",,"3"
"21","K649",,"3"
"22","7791","ULAFOS SPECIAL PROGRAMS","3"
"23","7680","ENG DIVERSITY ACTIVITIES","3"
"24","1101","RESEARCH RESOURCES","6"
"25","1179","Enviro Health & Safety of Nano","6"
"26","1253","OFFICE OF MULTIDISCIPLINARY AC","6"
"27","1491","BIOTECsBIOCHEM & BIOMASS ENG","6"
"28","1516","RESOURCES & INFRASTRUCTURE","6"
"29","1536","S-STEM:SCHLR SCI TECH ENG&MATH","6"
"30","1674","NANOSCALE: INTRDISCPL RESRCH T","6"
"31","1675","NANOSCALE: SCIENCE & ENGIN CTR","6"
"32","1743","NATIONAL FACILITIES","6"
"33","1788","NANOMANUFACTURING","6"
"34","1991","CHEMISTRY PROJECTS","6"
"35","2878","SPECIAL PROJECTS - CCF","6"
"36","5345","BIOMEDICAL ENGINEERING","6"
"37","7227","ITEST","6"
"38","7259","AISL","6"
"39","7316","EAPSI","6"
"40","7412","ADVANCED TECH EDUCATION PROG","6"
"41","7601","NAT NANOTECHNOLOGY INFRAST NET","6"
"42","7634","BIO CENTERS","6"
"43","7641","INT'L RES & EDU IN ENGINEERING","6"
"44","7645","DISCOVERY RESEARCH K-12","6"
"45","7731","OTHER GLOBAL LEARNING & TRNING","6"
"46","7915","Ethics & Values of SET","6"
"47","8815","Studies of Policy Sci Eng Tech","6"
"48","9199","UNDISTRIBUTED PANEL/IPA FUNDS","6"
"49","001F","SODV - CONSTRUCTION","7"
"50","002F","SODV - OPERATIONS & MAINTENANC","7"
"51","5720","OCEAN DRILLING PROGRAM","7"
"52","7598","INTL IODP ACTIVITIES","7"
"53","8280","INTEGRATED OCEAN DRILLING PROG","7"
"54","8301","International Ocean Discovery","7"
"55","1687","ITR MEDIUM (GROUP) GRANTS","8"
"56","1640","INFORMATION TECHNOLOGY RESEARC","8"
"57","T553",,"8"
"58","T790",,"8"
"59","I264",,"8"
"60","I184",,"8"
"61","N542",,"8"
"62","N502",,"8"
"63","O207",,"8"
"64","5140","OPERATIONS SUPPORT PROGRAM","9"
"65","5111","ANTARCTIC ORGANISMS & ECOSYST","10"
"66","5140","OPERATIONS SUPPORT PROGRAM","10"
"67","5205","ARCTIC RESRCH SUPPRT & LOGISTI","10"
"68","0626",,"11"
"69","1581","CONTINENTAL DYNAMICS PROGRAM","12"
"70","1581","CONTINENTAL DYNAMICS PROGRAM","13"
"71","051F","ATST - CONCEPT & DEVELOPMENT","14"
"72","1297","SCI & TECH CTRS (INTEG PTRS)","16"
"73","7555","STC CLASS OF 2005","16"
"74","7364","INFO INTEGRATION & INFORMATICS","16"
"75","7795","TRUSTWORTHY COMPUTING","16"
"76","I303",,"16"
"77","K528",,"16"
"78","k535",,"16"
"79","k578",,"16"
"80","K155",,"16"
"81","1668","FED CYBER SERV: SCHLAR FOR SER","16"
"82","L556",,"16"
"83","L555",,"16"
"84","M560",,"16"
"85","N575",,"16"
"86","1297","SCI & TECH CTRS (INTEG PTRS)","17"
"87","5111","ANTARCTIC ORGANISMS & ECOSYST","17"
"88","5116","ANTARCTIC GLACIOLOGY","17"
"89","5280","ARCTIC NATURAL SCIENCES","17"
"90","7298","COLLABORATIVE RESEARCH","17"
"91","7555","STC CLASS OF 2005","17"
"92","7614","STCs - 2006 CLASS","20"
"93","5740","CLIMATE & LARGE-SCALE DYNAMICS","20"
"94","7298","COLLABORATIVE RESEARCH","21"
"95","7473","FUNCTIONAL & REGULATORY SYS CL","21"
"96","7658","Physiolg Mechansms&Biomechancs","21"
"97","9150","EXP PROG TO STIM COMP RES","21"
"98","1403","PROCESS & REACTION ENGINEERING","22"
"99","1407","COMBUSTIOsFIRs& PLASMA SYS","22"
"100","1443","FLUID DYNAMICS","22"
"101","1464","ENGINEERING DESIGN AND INNOVAT","22"
"102","1786","MANFG ENTERPRISE SYSTEMS","22"
"103","1787","SERVICE ENTERPRISE SYSTEMS","22"
"104","5514","OPERATIONS RESEARCH","22"
"105","7231","CYBERINFRASTRUCTURE","22"
"106","7476","ETF","22"
"107","7619","EQUIPMENT ACQUISITIONS","22"
"108","1335","IGERT FULL PROPOSALS","23"
"109","1480","ENGINEERING RESEARCH CENTERS","24"
"110","5345","BIOMEDICAL ENGINEERING","24"
"111","7236","BIOPHOTONICsIMAGING &SENSING","24"
"112","7298","COLLABORATIVE RESEARCH","24"
"113","7680","ENG DIVERSITY ACTIVITIES","24"
"114","1666","RESEARCH ON LEARNING & EDUCATI","25"
"115","7271","TEACHER PROFESSIONAL CONTINUUM","25"
"116","7298","COLLABORATIVE RESEARCH","25"
"117","7625","REAL","25"
"118","7645","DISCOVERY RESEARCH K-12","25"
"119","V918",,"26"
"120","T377",,"26"
"121","T489",,"26"
"122","T885",,"26"
"123","H186",,"26"
"124","7364","INFO INTEGRATION & INFORMATICS","26"
"125","I153",,"26"
"126","I331",,"26"
"127","I435",,"26"
"128","J265",,"26"
"129","4204","GEMINI OBSERVATORIES","27"
"130","7298","COLLABORATIVE RESEARCH","29"
"131","7274","HUMAN LANGUAGE & COMMUNICATION","29"
"132","7495","ROBUST INTELLIGENCE","29"
"133","7742","PIRE","29"
"134","1371","POLITICAL SCIENCE","31"
"135","7964","ANES","31"
"136","1372","LAW AND SOCIAL SCIENCES","31"
"137","1333","METHOsMEASURE & STATS","31"
"138","1480","ENGINEERING RESEARCH CENTERS","32"
"139","7298","COLLABORATIVE RESEARCH","32"
"140","7218","RET SUPPLEMENTS","32"
"141","1360","HUMAN RESOURCES DEVELOPMENT","33"
"142","1385","SPECIAL STUDIES AND ANALYSES","33"
"143","1468","Manufacturing Machines & Equip","33"
