result2.firstname,result2.lastname,result2.scopusid,result2.awardid
"","Wulfhorst","6506491367","861"
"A","Denning","56719375500","2475"
"A","Denning","7004284631","20"
"A","Denning","7004284631","2475"
"A","Denning","7004284631","4633"
"A","Denning","8266491100","20"
"A","Denning","8266491100","2475"
"A","Denning","8266491100","40068"
"A","Denning","8266491100","4633"
"A","Holzwarth","6602597353","41432"
"A.","Boykin","11239061200","4120"
"A.","Boykin","9039466000","4120"
"AARON","ROTH","8247437600","18829"
"AARON","ROTH","8247437600","6410"
"ASHLEY","SCHAPPELL","54380710300","24559"
"Aardra","kachroo","6603027657","167"
"Aardra","kachroo","6603027657","4782"
"Aaron","Ames","56485435400","9645"
"Aaron","Ames","8263302600","17159"
"Aaron","Ames","8263302600","9645"
"Aaron","Barth","36088948300","32516"
"Aaron","Barth","36088948300","7193"
"Aaron","Barth","56606754800","32516"
"Aaron","Barth","56606754800","7193"
"Aaron","Bauer","7202698988","3377"
"Aaron","Bertram","7006204602","18162"
"Aaron","Bertram","7006204602","1985"
"Aaron","Best","8131652500","16139"
"Aaron","Birch","7005581290","8959"
"Aaron","Bloomfield","18433696100","26473"
"Aaron","Bobick","7004445980","34779"
"Aaron","Diefendorf","8560540000","16046"
"Aaron","Dinner","7004034005","21809"
"Aaron","Dollar","8637648600","9873"
"Aaron","Ellison","34975053400","10271"
"Aaron","Ellison","34975053400","15600"
"Aaron","Ellison","34975053400","2784"
"Aaron","Ellison","34975053400","39759"
"Aaron","Ellison","34975053400","9726"
"Aaron","Ellison","7103219845","10271"
"Aaron","Evans","35462418700","7280"
"Aaron","Fafarman","6507802061","40309"
"Aaron","Fogelson","6701472262","10799"
"Aaron","Geller","24281152500","29483"
"Aaron","Goldman","35445427800","34857"
"Aaron","Goldman","8785089100","34857"
"Aaron","Hawkins","7102975249","12161"
"Aaron","Hawkins","7102975249","30679"
"Aaron","Lauda","8388887500","19129"
"Aaron","Lauda","8388887500","37659"
"Aaron","Lorenz","23134919200","17057"
"Aaron","Lucius","6507215220","12208"
"Aaron","Lucius","6507215220","32501"
"Aaron","Maitland","56748847800","34297"
"Aaron","Massari","7004360183","4609"
"Aaron","Mitchell","7402039370","33930"
"Aaron","Naber","36615642100","38900"
"Aaron","Naber","36615642100","41059"
"Aaron","Odom","7003997531","20739"
"Aaron","Ohta","56423225100","10030"
"Aaron","Ohta","8951641400","10030"
"Aaron","Packman","7005340209","14717"
"Aaron","Packman","7005340209","26927"
"Aaron","Panofsky","6506756334","24312"
"Aaron","Parsons","15822992400","28187"
"Aaron","Parsons","15822992400","31650"
"Aaron","Parsons","15822992400","36688"
"Aaron","Pietruszka","6603143662","8165"
"Aaron","Ridley","57193220328","17594"
"Aaron","Ridley","57193220328","17600"
"Aaron","Ridley","57193220328","26704"
"Aaron","Ridley","57193220328","4362"
"Aaron","Ridley","57193220328","9860"
"Aaron","Ridley","7102627267","17594"
"Aaron","Ridley","7102627267","17600"
"Aaron","Ridley","7102627267","26704"
"Aaron","Ridley","7102627267","4362"
"Aaron","Ridley","7102627267","9860"
"Aaron","Sakulich","24759326200","29176"
"Aaron","Smith","56204986500","13728"
"Aaron","Stebner","24336359000","39010"
"Aaron","Steinfeld","7103257672","23601"
"Aaron","Steinfeld","7103257672","3141"
"Aaron","Striegel","7003509061","2537"
"Aaron","Striegel","7003509061","40621"
"Aaron","Striegel","7003509061","8049"
"Aaron","Stump","11141761400","5436"
"Aaron","Thompson","35231735800","39503"
"Aaron","Thompson","55840173500","39503"
"Aaron","Velasco","7102242073","17533"
"Aaron","Velasco","7102242073","4888"
"Aaron","Wagner","7401452887","15170"
"Aaron","Wagner","7401452887","5921"
"Aaron","Wangberg","54917182400","18044"
"Aaron","Weinberg","35790530600","9672"
"Aaron","Wemhoff","6507284083","16844"
"Aaron","Wemhoff","6507284083","9557"
"Aaron","Wirsing","6602170672","10495"
"Aarti","Gupta","7410389613","42245"
"Abani","Patra","56457611200","21078"
"Abani","Patra","56457611200","40433"
"Abani","Patra","56457611200","9308"
"Abani","Patra","7102009098","21078"
"Abani","Patra","7102009098","37533"
"Abani","Patra","7102009098","40433"
"Abani","Patra","7102009098","9308"
"Abbas","El,Gamal","6602093177","5773"
"Abbas","Ourmazd","7003888836","16312"
"Abbas","Ourmazd","7003888836","17340"
"Abbie","Liel","24474476400","16692"
"Abbie","Liel","24474476400","36868"
"Abby","Walker","55814369400","24539"
"Abby","Walker","56565920100","24539"
"Abdeldjelil","Belarbi","7003314353","6350"
"Abdelkader","Kara","56242971000","18033"
"Abdelkader","Kara","56478358500","18033"
"Abdelkader","Kara","57192815822","18033"
"Abdelkader","Kara","57192815824","18033"
"Abdellah","Ahmidouch","7003740898","6380"
"Abdessadek","Lachgar","7006942043","25981"
"Abdul","Mohamed","56215661000","18335"
"Abdul","Mohammed","7102944710","1194"
"Abdullah","Konak","6601933729","10073"
"Abdullah","Muzahid","35183806800","23948"
"Abeer","Alwan","7006698761","38384"
"Abeer","Alwan","7006698761","42467"
"Abel","Baerga-Ortiz","6505978841","1787"
"Abel","Kho","16230386100","33424"
"Abel","Klein","7402143788","21143"
"Abhay","Ashtekar","7006116930","13340"
"Abhay","Pasupathy","6602363914","2514"
"Abhay","Pasupathy","6602363914","5262"
"Abhay","Pasupathy","6602363914","8784"
"Abhaya","Dandekar","35564951100","41524"
"Abhaya","Dandekar","35564951100","6062"
"Abhaya","Dandekar","56378699000","41524"
"Abhaya","Datye","55963119400","36328"
"Abhaya","Datye","55963119400","6087"
"Abhaya","Datye","55963119400","95"
"Abhaya","Datye","7006729246","20385"
"Abhaya","Datye","7006729246","36328"
"Abhaya","Datye","7006729246","6087"
"Abhaya","Datye","7006729246","95"
"Abhi","Shelat","18038835700","3330"
"Abhi","Shelat","18038835700","570"
"Abhi","Shelat","18038835700","8041"
"Abhijeet","Sangwan","20436714000","15264"
"Abhijit","Banerjee","7402886108","11786"
