Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Su, Y., Liu, H., Yang, J.","Metals and metalloids in the water-bloom-forming cyanobacteria and ambient water from Nanquan Coast of Taihu Lake, China",2012,"Bulletin of Environmental Contamination and Toxicology","89","2",,"439","443",,2,10.1007/s00128-012-0666-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864588626&doi=10.1007%2fs00128-012-0666-z&partnerID=40&md5=5d5ae92b47a8969235fcc021472f8a58",Article,Scopus,2-s2.0-84864588626
"Li, Z.-W., Guo, W., Wang, X.-Y., Shen, W.-P., Zhang, X., Chen, X.-L., Zhang, Y.-N.","Effects of land use type on the distribution of organic carbon in different sized soil particles and its relationships to herb biomass in hilly red soil region of South China",2012,"Chinese Journal of Applied Ecology","23","4",,"867","874",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860821336&partnerID=40&md5=f46dd1ea6171a0348817ffc129698ff8",Article,Scopus,2-s2.0-84860821336
"Chen, X., Yang, J., Liu, H., Su, Y., Sun, L., Oshima, Y.","Element concentrations in a unionid mussel (anodonta woodiana') at different life stages",2012,"Journal of the Faculty of Agriculture, Kyushu University","57","1",,"139","144",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863346050&partnerID=40&md5=8d6b65bcb29e9f2e22fb777ba911fc4e",Article,Scopus,2-s2.0-84863346050
"Yang, J., Fan, W., Xue, B.","Biased electric field analysis of a photoconductive antenna for terahertz generation",2011,"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","637","1 SUPPL.",,"S165","S167",,2,10.1016/j.nima.2010.02.048,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955824041&doi=10.1016%2fj.nima.2010.02.048&partnerID=40&md5=464ffb7a8ce2e4ed30682049d7f47c3d",Conference Paper,Scopus,2-s2.0-79955824041
"Chan, K.C., Li, J., Kau, P., Zhou, I.Y., Cheung, M.M., Lau, C., Yang, J., So, K.-F., Wu, E.X.","In vivo retinotopic mapping of superior colliculus using manganese-enhanced magnetic resonance imaging",2011,"NeuroImage","54","1",,"389","395",,47,10.1016/j.neuroimage.2010.07.015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957939969&doi=10.1016%2fj.neuroimage.2010.07.015&partnerID=40&md5=172120eada9376bdc7bdd6a087ba08ad",Article,Scopus,2-s2.0-77957939969
"Yang, J., Huang, C., Yang, J., Jiang, H., Ding, J.","Statins attenuate high mobility group box-1 protein induced vascular endothelial activation : AAA key role for TLR4/NκF-B signaling pathway",2010,"Molecular and Cellular Biochemistry","345","1-2",,"189","195",,42,10.1007/s11010-010-0572-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78449272659&doi=10.1007%2fs11010-010-0572-9&partnerID=40&md5=37c0fa31f5319dfcc82ba2f2bcbb301e",Article,Scopus,2-s2.0-78449272659
"Liu, H., Yang, J., Gan, J.","Trace element accumulation in bivalve mussels Anodonta woodiana from Taihu Lake, China",2010,"Archives of Environmental Contamination and Toxicology","59","4",,"593","601",,19,10.1007/s00244-010-9521-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049500943&doi=10.1007%2fs00244-010-9521-6&partnerID=40&md5=08d8c8dffdfeb68c738283fa5cd5136b",Article,Scopus,2-s2.0-78049500943
"Wang, L., Wang, L., Liao, C., Yang, J.","Based on energy transferring for battery packs applied on Electric Vehicle",2010,"CCTAE 2010 - 2010 International Conference on Computer and Communication Technologies in Agriculture Engineering","1",, 5543896,"271","274",,4,10.1109/CCTAE.2010.5543896,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956488691&doi=10.1109%2fCCTAE.2010.5543896&partnerID=40&md5=feaa3130bbbf10f583a95c28d2271463",Conference Paper,Scopus,2-s2.0-77956488691
"Zhao, Y.-L., Yang, Z.-B., Yang, J., Hua, X.-G., Yuan, C.-L., Zhang, W., Li, N., Fan, Y.-J., Zhu, J.-G., Cui, L.","Effects of water-borne copper on isozymes of gill in Eriocheir sinensis",2010,"2010 4th International Conference on Bioinformatics and Biomedical Engineering, iCBBE 2010",,, 5515879,"","",,,10.1109/ICBBE.2010.5515879,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956158937&doi=10.1109%2fICBBE.2010.5515879&partnerID=40&md5=aedd890dc417e53077d86fd0d53a70a1",Conference Paper,Scopus,2-s2.0-77956158937
"Yang, J., Hao, D.-X., Bi, C.-X., Su, Z.-G., Wang, L.-Y., Ma, G.-H.","Rapid synthesis of uniform magnetic microspheres by combing premix membrane emulsification and in situ formation techniques",2010,"Industrial and Engineering Chemistry Research","49","13",,"6047","6053",,11,10.1021/ie902053u,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954192015&doi=10.1021%2fie902053u&partnerID=40&md5=912014d95fb39a1f8c3410c0ef46fcbe",Article,Scopus,2-s2.0-77954192015
